Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
10.00 - 11.00,"948,042,900",50.19%,6,4.51%,,,,,,,,,,,
9.00 - 10.00,"23,430,200",1.24%,2,1.50%,,,,,,,,,,,
8.00 - 9.00,"58,091,100",3.08%,6,4.51%,,,,,,,,,,,
7.00 - 8.00,"179,075,900",9.48%,19,14.29%,,,,,,,,,,,
6.00 - 7.00,"381,894,700",20.22%,30,22.56%,,,,,,,,,,,
5.00 - 6.00,"211,338,700",11.19%,36,27.07%,,,,,,,,,,,
4.00 - 5.00,"84,176,200",4.46%,31,23.31%,,,,,,,,,,,
3.00 - 4.00,"3,021,200",0.16%,3,2.26%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BBGI.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,10.80,18-มี.ค.-2022,Max,"595,345,800",18-มี.ค.-2022,Advancing,"665,216,300",Up,48,Up,+23.08%,28-มิ.ย.-2024,Max,"6,222,827,940.00",18-มี.ค.-2022
Low,3.88,15-ธ.ค.-2023,Min,"336,200",05-พ.ค.-2023,Declining,"572,928,900",Down,67,Down,-21.01%,26-ก.ค.-2024,Min,"1,350,400.00",08-ธ.ค.-2023
Avg,6.05,,Avg,"14,203,541",,Total,"1,889,070,900",Unch,17,Period,-34.16%,10 Years,Avg,"119,732,816.92",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
BBGI.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
19-ก.ค.-2024,6.90,-0.30,-4.17%,7.20,6.60,7.25,"35,984,100","249,777,395.00","347,377,433.00",,,,,,
12-ก.ค.-2024,7.20,+0.70,+10.77%,6.50,6.25,7.25,"36,039,800","244,775,335.00","597,154,828.00",,,,,,
05-ก.ค.-2024,6.50,+0.10,+1.56%,6.65,6.30,6.95,"48,104,700","320,986,510.00","352,379,493.00",,,,,,
28-มิ.ย.-2024,6.40,+1.20,+23.08%,5.20,5.15,6.85,"69,156,600","432,667,760.00","31,392,983.00",,,,,,
21-มิ.ย.-2024,5.20,+0.46,+9.70%,4.74,4.70,5.20,"8,124,700","40,546,241.00","-401,274,777.00",,,,,,
14-มิ.ย.-2024,4.74,-0.71,-13.03%,5.60,4.72,5.60,"32,128,700","168,030,063.00","-441,821,018.00",,,,,,
07-มิ.ย.-2024,5.45,+0.05,+0.93%,5.40,5.30,5.55,"10,852,600","58,850,080.00","-273,790,955.00",,,,,,
31-พ.ค.-2024,5.40,+0.25,+4.85%,5.20,5.10,5.65,"10,405,100","55,836,110.00","-332,641,035.00",,,,,,
24-พ.ค.-2024,5.15,-0.05,-0.96%,5.25,5.10,5.65,"13,379,500","72,020,610.00","-388,477,145.00",,,,,,
17-พ.ค.-2024,5.20,+0.20,+4.00%,5.05,5.00,5.40,"3,424,200","18,019,815.00","-316,456,535.00",,,,,,
10-พ.ค.-2024,5.00,-0.30,-5.66%,5.25,4.98,5.60,"7,216,600","38,102,143.00","-334,476,350.00",,,,,,
03-พ.ค.-2024,5.30,-0.10,-1.85%,5.40,5.25,5.65,"8,114,200","44,798,525.00","-296,374,207.00",,,,,,
