CPT Drives And Power PCL | Price History                                          12-Sep-2024 14:23,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPT.BK,,,,,,,,,,,,,,,
Interval: Weekly,,,,,,,,,,,,,,,
History Period: 10 Years,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
VAP: Total,"11,834,774,600",,,,,,,,,,,,,,
Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
2.50 - 3.00,"439,147,600",3.71%,7,1.99%,,,,,,,,,,,
2.00 - 2.50,"1,935,051,900",16.35%,29,8.24%,,,,,,,,,,,
1.50 - 2.00,"153,531,500",1.30%,6,1.70%,,,,,,,,,,,
1.00 - 1.50,"6,421,622,300",54.26%,48,13.64%,,,,,,,,,,,
0.50 - 1.00,"2,885,421,300",24.38%,262,74.43%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPT.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,2.96,27-ก.ค.-2018,Max,"1,218,972,600",08-ก.พ.-2019,Advancing,"6,733,809,600",Up,130,Up,+40.48%,08-ก.พ.-2019,Max,"1,419,580,063.00",08-ก.พ.-2019
Low,0.50,13-มี.ค.-2020,Min,"79,100",14-เม.ย.-2023,Declining,"4,223,017,700",Down,173,Down,-21.17%,24-ส.ค.-2018,Min,"56,374.00",14-เม.ย.-2023
Avg,1.01,,Avg,"33,621,519",,Total,"11,834,774,600",Unch,48,Period,-66.97%,10 Years,Avg,"44,586,996.57",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CPT.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - THB,Flow,,,,,,
14-ต.ค.-2022,0.79,-0.01,-1.25%,0.80,0.78,0.80,"1,463,900","1,156,603.00","3,967,080,147.00",,,,,,
07-ต.ค.-2022,0.80,-0.02,-2.44%,0.83,0.78,0.83,"4,673,400","3,715,456.00","3,968,236,750.00",,,,,,
30-ก.ย.-2022,0.82,-0.02,-2.38%,0.82,0.80,0.88,"10,103,800","8,438,131.00","3,971,952,206.00",,,,,,
23-ก.ย.-2022,0.84,0.00,0.00%,0.84,0.81,0.87,"3,275,700","2,769,391.00","3,980,390,337.00",,,,,,
16-ก.ย.-2022,0.84,+0.01,+1.20%,0.82,0.82,0.87,"4,818,600","4,045,981.00","3,977,620,946.00",,,,,,
09-ก.ย.-2022,0.83,+0.01,+1.22%,0.82,0.81,0.83,"917,500","751,500.00","3,973,574,965.00",,,,,,
02-ก.ย.-2022,0.82,-0.01,-1.20%,0.84,0.81,0.84,"1,048,100","858,674.00","3,972,823,465.00",,,,,,
26-ส.ค.-2022,0.83,0.00,0.00%,0.82,0.82,0.84,"786,500","650,900.00","3,973,682,139.00",,,,,,
19-ส.ค.-2022,0.83,0.00,0.00%,0.83,0.82,0.84,"2,228,800","1,852,959.00","3,974,333,039.00",,,,,,
12-ส.ค.-2022,0.83,-0.02,-2.35%,0.86,0.83,0.87,"1,104,300","929,415.00","3,976,185,998.00",,,,,,
05-ส.ค.-2022,0.85,+0.04,+4.94%,0.80,0.80,0.86,"2,541,900","2,133,511.00","3,977,115,413.00",,,,,,
29-ก.ค.-2022,0.81,+0.02,+2.53%,0.79,0.78,0.81,"1,156,400","912,473.00","3,974,981,902.00",,,,,,
22-ก.ค.-2022,0.79,-0.01,-1.25%,0.80,0.78,0.81,"2,017,800","1,598,911.00","3,974,069,429.00",,,,,,
15-ก.ค.-2022,0.80,0.00,0.00%,0.80,0.78,0.83,"2,006,300","1,612,432.00","3,975,668,340.00",,,,,,
08-ก.ค.-2022,0.80,-0.06,-6.98%,0.86,0.79,0.86,"4,192,700","3,434,803.00","3,977,280,772.00",,,,,,
01-ก.ค.-2022,0.86,-0.02,-2.27%,0.90,0.86,0.90,"2,166,600","1,896,266.00","3,980,715,575.00",,,,,,
24-มิ.ย.-2022,0.88,0.00,0.00%,0.88,0.86,0.91,"3,509,700","3,101,628.00","3,982,611,841.00",,,,,,
17-มิ.ย.-2022,0.88,-0.01,-1.12%,0.87,0.85,0.91,"12,629,000","11,079,583.00","3,985,713,469.00",,,,,,
