Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
1.80 - 2.00,"321,094,400",2.88%,4,0.76%,,,,,,,,,,,
1.60 - 1.80,"1,805,232,692",16.17%,25,4.78%,,,,,,,,,,,
1.40 - 1.60,"1,963,265,458",17.58%,65,12.43%,,,,,,,,,,,
1.20 - 1.40,"1,717,680,177",15.38%,68,13.00%,,,,,,,,,,,
1.00 - 1.20,"2,786,625,100",24.95%,102,19.50%,,,,,,,,,,,
0.80 - 1.00,"1,426,763,200",12.78%,88,16.83%,,,,,,,,,,,
0.60 - 0.80,"825,320,100",7.39%,116,22.18%,,,,,,,,,,,
0.40 - 0.60,"320,923,600",2.87%,55,10.52%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TMIm.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,2.07,05-พ.ค.-2023,Max,"402,456,100",23-ก.ค.-2021,Advancing,"7,154,920,401",Up,195,Up,+36.67%,05-มี.ค.-2021,Max,"575,044,782.00",20-ก.ย.-2024
Low,0.50,09-ต.ค.-2020,Min,"214,200",08-พ.ค.-2020,Declining,"3,334,787,572",Down,246,Down,-16.90%,14-ต.ค.-2016,Min,"137,767.00",08-พ.ค.-2020
Avg,1.03,,Avg,"21,351,634",,Total,"11,166,904,727",Unch,81,Period,-17.33%,10 Years,Avg,"31,262,606.00",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
TMIm.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
07-ต.ค.-2022,1.57,+0.01,+0.53%,1.57,1.51,1.63,"11,103,800","20,872,052.00","4,561,234,743.00",,,,,,
30-ก.ย.-2022,1.56,-0.10,-6.03%,1.67,1.51,1.67,"23,066,300","43,741,926.00","4,540,362,691.00",,,,,,
23-ก.ย.-2022,1.66,0.00,0.00%,1.67,1.62,1.70,"13,249,300","26,365,737.00","4,584,104,617.00",,,,,,
16-ก.ย.-2022,1.66,-0.06,-3.40%,1.73,1.64,1.75,"23,378,300","47,292,504.00","4,610,470,354.00",,,,,,
09-ก.ย.-2022,1.72,+0.06,+3.52%,1.65,1.62,1.77,"30,940,700","62,967,691.00","4,657,762,858.00",,,,,,
02-ก.ย.-2022,1.66,+0.02,+1.02%,1.60,1.58,1.70,"19,465,500","38,264,675.00","4,594,795,167.00",,,,,,
26-ส.ค.-2022,1.64,-0.07,-4.37%,1.72,1.54,1.78,"41,053,700","83,015,516.00","4,556,530,492.00",,,,,,
19-ส.ค.-2022,1.72,+0.07,+4.04%,1.66,1.65,1.83,"88,799,000","186,455,850.00","4,639,546,008.00",,,,,,
12-ส.ค.-2022,1.65,+0.02,+1.54%,1.63,1.61,1.68,"34,790,700","68,541,143.00","4,453,090,158.00",,,,,,
05-ส.ค.-2022,1.62,+0.06,+3.72%,1.58,1.56,1.70,"105,675,000","205,405,096.00","4,384,549,015.00",,,,,,
29-ก.ค.-2022,1.57,-0.05,-3.09%,1.61,1.53,1.66,"44,293,500","85,352,074.00","4,179,143,919.00",,,,,,
22-ก.ค.-2022,1.62,+0.10,+6.59%,1.57,1.46,1.64,"184,313,600","339,951,831.00","4,264,495,993.00",,,,,,
15-ก.ค.-2022,1.52,+0.11,+7.69%,1.42,1.39,1.52,"59,009,400","103,861,048.00","3,924,544,162.00",,,,,,
