Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,13.67,05-มี.ค.-2021,Max,"880,373,714",29-ก.ย.-2017,Advancing,"4,151,494,472",Up,156,Up,+15.08%,15-พ.ค.-2020,Max,"6,082,308,850.00",29-ก.ย.-2017
Low,4.23,27-มี.ค.-2020,Min,"429,380",03-ม.ค.-2020,Declining,"3,612,714,780",Down,173,Down,-11.56%,10-พ.ย.-2017,Min,"2,361,980.00",03-ม.ค.-2020
Avg,7.47,,Avg,"25,290,569",,Total,"9,256,348,194",Unch,36,Period,-5.53%,10 Years,Avg,"208,755,207.30",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
12-พ.ย.-2021,10.91,-0.25,-2.22%,11.24,10.83,11.24,"14,920,265","164,207,340.00","3,411,110,025.00",,,,,,
05-พ.ย.-2021,11.16,-0.25,-2.17%,11.32,11.07,11.82,"56,733,864","649,795,890.00","3,575,317,365.00",,,,,,
29-ต.ค.-2021,11.40,0.00,0.00%,11.49,10.99,11.57,"40,949,417","461,129,980.00","4,225,113,255.00",,,,,,
22-ต.ค.-2021,11.40,+0.41,+3.76%,11.07,10.99,11.57,"36,710,183","415,152,760.00","3,763,983,275.00",,,,,,
15-ต.ค.-2021,10.99,+0.50,+4.72%,10.58,10.50,11.16,"44,249,933","479,103,510.00","3,348,830,515.00",,,,,,
08-ต.ค.-2021,10.50,+0.25,+2.42%,10.25,10.17,10.58,"25,688,295","267,041,900.00","2,869,727,005.00",,,,,,
01-ต.ค.-2021,10.25,0.00,0.00%,10.25,10.08,10.58,"51,158,790","525,584,560.00","2,602,685,105.00",,,,,,
24-ก.ย.-2021,10.25,-0.08,-0.80%,10.25,10.08,10.33,"9,136,103","93,357,450.00","3,128,269,665.00",,,,,,
17-ก.ย.-2021,10.33,+0.17,+1.63%,10.25,10.08,10.50,"18,826,144","193,549,690.00","3,221,627,115.00",,,,,,
10-ก.ย.-2021,10.17,-0.33,-3.15%,10.50,10.08,10.58,"23,785,812","244,593,420.00","3,028,077,425.00",,,,,,
03-ก.ย.-2021,10.50,-0.17,-1.55%,10.83,10.25,10.99,"70,515,640","743,930,900.00","3,272,670,845.00",,,,,,
27-ส.ค.-2021,10.66,+0.25,+2.38%,10.58,10.41,10.91,"33,505,619","357,905,380.00","4,016,601,745.00",,,,,,
20-ส.ค.-2021,10.41,-0.58,-5.26%,10.99,10.33,10.99,"32,631,031","346,216,110.00","3,658,696,365.00",,,,,,
13-ส.ค.-2021,10.99,+0.66,+6.40%,10.41,10.41,11.32,"60,718,514","668,025,720.00","4,004,912,475.00",,,,,,
