Price,Volume,%Volume,Count,%Count,,,,,,,,,,,
7.00 - 8.00,"4,490,200",0.40%,3,0.57%,,,,,,,,,,,
6.00 - 7.00,"21,907,000",1.97%,30,5.74%,,,,,,,,,,,
5.00 - 6.00,"29,132,700",2.62%,10,1.91%,,,,,,,,,,,
4.00 - 5.00,"70,071,900",6.31%,27,5.16%,,,,,,,,,,,
3.00 - 4.00,"70,001,300",6.30%,93,17.78%,,,,,,,,,,,
2.00 - 3.00,"859,340,000",77.36%,221,42.26%,,,,,,,,,,,
1.00 - 2.00,"54,061,900",4.87%,137,26.20%,,,,,,,,,,,
0.00 - 1.00,"1,769,200",0.16%,2,0.38%,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LNE.BK Statistics     Weekly     10 Years,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,7.30,21-พ.ย.-2014,Max,"266,619,100",17-มิ.ย.-2022,Advancing,"724,478,900",Up,202,Up,+28.71%,10-มิ.ย.-2022,Max,"744,402,356.00",17-มิ.ย.-2022
Low,0.95,05-ก.ค.-2024,Min,"2,400",15-พ.ย.-2019,Declining,"328,486,100",Down,244,Down,-16.75%,12-พ.ค.-2017,Min,"5,210.00",15-พ.ย.-2019
Avg,2.76,,Avg,"2,123,851",,Total,"1,110,774,200",Unch,76,Period,-81.99%,10 Years,Avg,"6,133,574.28",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
LNE.BK History     Weekly     10 Years,,,,,,,,,,,,,,,
16-ก.ย.-2022,2.28,-0.14,-5.79%,2.42,2.24,2.46,"4,553,800","10,660,000.00","1,223,747,980.00",,,,,,
09-ก.ย.-2022,2.42,+0.14,+6.14%,2.30,2.30,2.46,"5,006,200","11,987,548.00","1,234,407,980.00",,,,,,
02-ก.ย.-2022,2.28,-0.18,-7.32%,2.42,2.26,2.52,"7,704,900","18,297,578.00","1,222,420,432.00",,,,,,
26-ส.ค.-2022,2.46,-0.14,-5.38%,2.64,2.46,2.72,"29,784,100","77,183,172.00","1,240,718,010.00",,,,,,
19-ส.ค.-2022,2.60,+0.36,+16.07%,2.24,2.18,2.78,"65,124,100","168,153,718.00","1,317,901,182.00",,,,,,
12-ส.ค.-2022,2.24,-0.06,-2.61%,2.30,2.22,2.58,"22,399,400","54,066,592.00","1,149,747,464.00",,,,,,
05-ส.ค.-2022,2.30,+0.04,+1.77%,2.30,2.22,2.42,"6,449,800","14,892,964.00","1,203,814,056.00",,,,,,
29-ก.ค.-2022,2.26,+0.02,+0.89%,2.24,2.24,2.46,"15,685,300","37,107,282.00","1,188,921,092.00",,,,,,
22-ก.ค.-2022,2.24,+0.08,+3.70%,2.18,2.14,2.32,"8,001,200","17,884,394.00","1,151,813,810.00",,,,,,
15-ก.ค.-2022,2.16,-0.10,-4.42%,2.30,2.04,2.40,"12,813,800","28,517,828.00","1,133,929,416.00",,,,,,
08-ก.ค.-2022,2.26,+0.06,+2.73%,2.18,2.06,2.50,"69,077,000","162,201,076.00","1,162,447,244.00",,,,,,
01-ก.ค.-2022,2.20,-0.22,-9.09%,2.42,2.14,2.56,"23,801,800","56,325,308.00","1,000,246,168.00",,,,,,
24-มิ.ย.-2022,2.42,-0.26,-9.70%,2.66,2.38,2.74,"73,265,100","187,729,738.00","1,056,571,476.00",,,,,,
17-มิ.ย.-2022,2.68,+0.08,+3.08%,2.62,2.28,3.14,"266,619,100","744,402,356.00","1,244,301,214.00",,,,,,
10-มิ.ย.-2022,2.60,+0.58,+28.71%,2.02,1.99,3.32,"107,161,400","315,743,242.00","499,898,858.00",,,,,,
03-มิ.ย.-2022,2.02,0.00,0.00%,2.00,1.99,2.04,"889,700","1,779,611.00","184,155,616.00",,,,,,
27-พ.ค.-2022,2.02,+0.04,+2.02%,1.98,1.98,2.08,"422,000","844,617.00","182,376,005.00",,,,,,
20-พ.ค.-2022,1.98,0.00,0.00%,2.00,1.94,2.00,"260,700","518,600.00","181,531,388.00",,,,,,
13-พ.ค.-2022,1.98,-0.12,-5.71%,2.04,1.92,2.10,"592,800","1,188,212.00","182,049,988.00",,,,,,
06-พ.ค.-2022,2.10,0.00,0.00%,2.12,2.02,2.12,"144,800","298,934.00","183,238,200.00",,,,,,
29-เม.ย.-2022,2.10,-0.08,-3.67%,2.18,2.10,2.20,"334,300","715,094.00","183,537,134.00",,,,,,
22-เม.ย.-2022,2.18,+0.02,+0.93%,2.14,2.14,2.18,"194,100","420,914.00","184,252,228.00",,,,,,
15-เม.ย.-2022,2.16,0.00,0.00%,2.14,2.12,2.16,"115,100","246,392.00","183,831,314.00",,,,,,
08-เม.ย.-2022,2.16,-0.04,-1.82%,2.18,2.14,2.18,"89,200","192,886.00","184,077,706.00",,,,,,
01-เม.ย.-2022,2.20,+0.04,+1.85%,2.16,2.12,2.24,"491,900","1,067,508.00","184,270,592.00",,,,,,
25-มี.ค.-2022,2.16,0.00,0.00%,2.14,2.08,2.18,"347,700","742,296.00","183,203,084.00",,,,,,
18-มี.ค.-2022,2.16,+0.10,+4.85%,2.06,2.06,2.20,"396,400","844,854.00","182,460,788.00",,,,,,
11-มี.ค.-2022,2.06,-0.14,-6.36%,2.20,2.00,2.20,"1,273,100","2,612,512.00","181,615,934.00",,,,,,
04-มี.ค.-2022,2.20,+0.02,+0.92%,2.24,2.14,2.24,"653,000","1,422,090.00","184,228,446.00",,,,,,
25-ก.พ.-2022,2.18,+0.16,+7.92%,2.04,1.99,2.60,"6,377,800","14,771,437.00","182,806,356.00",,,,,,
18-ก.พ.-2022,2.02,-0.02,-0.98%,2.04,2.00,2.06,"156,500","317,142.00","168,034,919.00",,,,,,
11-ก.พ.-2022,2.04,0.00,0.00%,2.06,2.02,2.06,"702,300","1,430,582.00","168,352,061.00",,,,,,
04-ก.พ.-2022,2.04,0.00,0.00%,2.06,2.04,2.10,"196,600","404,554.00","169,782,643.00",,,,,,
28-ม.ค.-2022,2.04,0.00,0.00%,2.06,2.04,2.10,"904,000","1,850,646.00","170,187,197.00",,,,,,
21-ม.ค.-2022,2.04,-0.02,-0.97%,2.04,2.04,2.10,"248,700","514,322.00","172,037,843.00",,,,,,
14-ม.ค.-2022,2.06,+0.04,+1.98%,2.02,2.00,2.08,"265,000","539,528.00","172,552,165.00",,,,,,
07-ม.ค.-2022,2.02,-0.04,-1.94%,2.02,1.99,2.04,"384,000","774,365.00","172,012,637.00",,,,,,
31-ธ.ค.-2021,2.06,+0.04,+1.98%,2.02,2.00,2.06,"555,200","1,118,180.00","172,787,002.00",,,,,,
24-ธ.ค.-2021,2.02,-0.04,-1.94%,2.06,2.02,2.10,"133,900","273,634.00","171,668,822.00",,,,,,
17-ธ.ค.-2021,2.06,+0.02,+0.98%,2.04,2.00,2.16,"503,400","1,021,076.00","171,942,456.00",,,,,,
