"Property/Plant/Equipment, Total - Net","12,614,453 ","16,268,130 ","18,490,460 ","19,847,443 ","20,587,980 ","21,606,814 ","22,517,868 ","23,011,775 ","23,624,151 ","24,749,773 ","26,221,757 ","27,216,955 ","28,546,609 ","30,886,682 ","34,162,424 ","34,658,039 ","35,304,851 ","36,314,821 ","36,929,905 ","37,509,428 ","38,204,106 ","38,561,198 ","39,705,338 ","40,582,197 ","41,601,947 ","42,700,436 ","43,936,733 ","45,041,026 ","46,927,439 ","50,395,494 ","51,354,814 ","53,355,873 "
Long Term Investments,"5,514 ","5,480 ","5,463 ","5,446 ","5,428 ","5,410 ","9,349 ","9,331 ","9,313 ","5,337 ","5,319 ","5,300 ","5,281 ","186,532 ","186,413 ","188,294 ","188,172 ","188,049 ","187,927 ","187,803 ","185,677 ","670,890 ","490,493 ","490,813 ","491,002 ","736,067 ","737,005 ","737,908 ","739,262 ","740,180 ","741,834 ","743,538 "
Shares Outs - Common Stock Primary Issue,"5,900,000 ","5,900,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 ","8,400,000 "
Treas Shares - Common Stock Prmry Issue,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Minority Interest - Non Redeemable,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2 ,3 ,3 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 ,4 
Total Equity & Minority Interest,"7,629,391 ","8,320,991 ","24,507,370 ","24,373,734 ","24,127,088 ","24,214,034 ","24,967,886 ","24,757,441 ","24,922,722 ","25,048,377 ","26,031,146 ","26,442,005 ","26,700,436 ","27,110,331 ","28,077,656 ","27,569,198 ","27,767,614 ","28,928,138 ","29,989,284 ","29,917,431 ","29,852,599 ","30,851,821 ","31,706,225 ","31,469,935 ","31,000,449 ","31,564,428 ","31,854,825 ","32,537,828 ","32,368,563 ","33,201,589 ","32,893,004 ","33,750,738 "
Other Property/Plant/Equipment - Net,"12,614,453 ","16,268,130 ","18,490,460 ","19,847,443 ","20,587,980 ","21,606,814 ","22,517,868 ","23,011,775 ","23,624,151 ","24,749,773 ","26,221,757 ","27,216,955 ","28,546,609 ","30,886,682 ","34,162,424 ","34,658,039 ","35,304,851 ","36,314,821 ","36,929,905 ","37,509,428 ","38,204,106 ","38,561,198 ","39,705,338 ","40,582,197 ","41,601,947 ","42,700,436 ","43,936,733 ","45,041,026 ","46,927,439 ","50,395,494 ","51,354,814 ","53,355,873 "
"Right-of-Use Assets-Cap.Lease,Net-Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"632,019 ","622,219 ","655,270 ","650,619 ","642,827 ","635,596 ","631,674 ","620,585 ","612,542 ","558,394 ","548,871 ","518,324 ","545,677 ","496,470 ","475,331 ","1,686,810 ","1,665,404 ","1,650,229 "
"Curr. Port. of LT Capital Leases, Suppl.",--,--,--,--,--,--,--,--,--,--,--,--,--,--,"35,475 ","27,550 ","16,354 ","14,849 ","14,732 ","16,384 ","22,585 ","20,241 ","20,654 ","23,640 ","23,807 ","25,290 ","26,939 ","27,162 ","23,786 ","40,053 ","39,400 ","39,017 "
Total Current Assets less Inventory,"784,738 ","1,312,700 ","11,196,746 ","7,424,577 ","6,100,425 ","5,390,217 ","4,397,759 ","3,593,417 ","3,571,145 ","6,094,087 ","5,167,107 ","4,404,061 ","7,531,076 ","5,614,581 ","3,221,612 ","3,130,284 ","5,899,082 ","5,909,207 ","5,899,100 ","8,168,381 ","6,922,672 ","7,514,461 ","7,681,406 ","6,452,107 ","9,535,333 ","5,070,756 ","9,185,086 ","9,247,289 ","7,417,569 ","6,658,315 ","6,289,334 ","8,537,648 "
Net Debt Incl. Pref.Stock & Min.Interest,"4,213,437 ","6,769,613 ","(7,810,110)","(6,402,117)","(5,030,481)","(4,230,724)","(3,338,339)","(2,113,203)","(1,986,270)","(410,816)","619,513 ","1,639,180 ","2,835,992 ","4,659,751 ","7,593,792 ","8,626,712 ","10,590,512 ","9,612,837 ","9,237,847 ","10,052,270 ","11,900,673 ","11,749,469 ","12,792,949 ","13,385,308 ","14,119,624 ","13,641,886 ","16,030,103 ","16,217,813 ","17,133,071 ","19,253,137 ","19,639,111 ","21,606,256 "
"Tangible Book Value, Common Equity","7,629,391 ","8,320,991 ","24,507,370 ","24,373,734 ","24,127,088 ","24,214,034 ","24,967,886 ","24,757,441 ","24,922,722 ","25,048,377 ","26,031,146 ","26,442,005 ","26,700,434 ","27,110,328 ","28,077,653 ","27,569,194 ","27,767,610 ","28,928,134 ","29,989,280 ","29,917,427 ","29,852,595 ","30,851,817 ","31,706,221 ","31,469,931 ","31,000,445 ","31,564,424 ","31,854,821 ","32,537,824 ","32,368,559 ","33,201,585 ","32,893,000 ","33,750,734 "
