Period End Date,Current Ratio,Pretax ROE,Times Interest Earned,Reinvestment Rate,Debt/Equity,Quick Ratio,Gross Margin,ROE,x Earnings Retention,Net Margin,x Tax Complement,x Leverage (Assets/Equity),Pretax Margin,Cash Cycle (Days),% LT Debt to Total Capital,(Total Debt - Cash) / EBITDA,x Pretax Margin,Effective Tax Rate,Pretax ROA,EBITDA Margin,Assets/Equity,Operating Margin,Asset Turnover,Company name,Fraud
Jun-2016 ,0.0,0.0,199.9,0.0,0.0,0.0,25.2,0.0,1.0,8.4,0.86,0.0,9.8,0.0,0.0,0.0,9.8,14.1,0.0,10.1,0.0,10.1,0.0,CPT,0
Sep-2016 ,0.0,0.0,148.7,0.0,0.0,0.0,21.7,0.0,1.0,8.9,0.79,0.0,11.3,0.0,0.0,0.0,11.3,21.1,0.0,13.0,0.0,11.8,0.0,CPT,0
Dec-2016 ,0.0,0.0,182.8,0.0,0.0,0.0,26.5,0.0,1.0,15.7,0.8,0.0,19.7,0.0,0.0,0.0,19.7,20.4,0.0,20.2,0.0,19.2,0.0,CPT,0
Mar-2017 ,0.0,0.0,47.8,0.0,0.0,0.0,25.3,0.0,1.0,9.5,0.8,0.0,11.9,0.0,0.0,0.0,11.9,20.0,0.0,14.3,0.0,12.7,0.0,CPT,0
Jun-2017 ,2.06,0.0,25.7,0.0,0.06,1.46,25.6,0.0,1.0,3.8,0.78,1.68,4.8,0.0,0.5,0.0,4.8,22.3,0.0,8.7,1.68,6.0,0.0,CPT,0
Sep-2017 ,1.86,14.3,233.1,11.4,0.07,1.39,30.4,11.4,1.0,15.7,0.8,1.84,19.6,101.9,0.4,0.0,19.6,20.2,8.1,21.2,1.84,20.0,0.41,CPT,0
Dec-2017 ,3.13,8.1,100.9,-8.8,0.03,2.81,23.2,6.9,-1.29,11.7,0.84,1.4,13.8,72.9,0.2,0.0,13.8,15.8,5.3,14.9,1.4,14.0,0.38,CPT,0
Mar-2018 ,4.23,0.1,-1.0,0.1,0.02,3.84,20.5,0.1,1.0,0.6,0.74,1.27,0.8,162.3,0.1,0.0,0.8,26.3,0.1,2.3,1.27,-0.2,0.13,CPT,0
Jun-2018 ,3.44,1.8,73.7,1.4,0.02,3.0,25.4,1.4,1.0,6.8,0.79,1.32,8.6,126.5,0.3,0.0,8.6,21.4,1.4,8.7,1.32,6.8,0.16,CPT,0
Sep-2018 ,3.2,0.2,-1.3,0.1,0.04,2.76,17.5,0.1,1.0,0.5,0.74,1.34,0.7,118.6,0.2,0.0,0.7,34.2,0.1,1.2,1.34,-0.2,0.17,CPT,0
Dec-2018 ,3.17,-0.2,-8.3,-1.3,0.03,2.85,17.4,-0.2,0.0,-0.6,0.0,1.33,-0.5,77.7,0.2,0.0,-0.5,0.0,-0.1,-0.6,1.33,-1.4,0.26,CPT,0
Mar-2019 ,3.95,0.5,10.8,0.4,0.02,3.46,33.8,0.4,1.0,3.4,0.75,1.24,4.6,381.2,0.2,0.0,4.6,25.6,0.4,6.7,1.24,3.6,0.09,CPT,0
Jun-2019 ,4.69,-1.7,-126.4,-1.5,0.01,3.96,14.2,-1.5,0.0,-12.0,0.0,1.2,-13.4,254.6,0.3,0.0,-13.4,0.0,-1.4,-11.1,1.2,-13.9,0.1,CPT,0
Sep-2019 ,4.18,0.5,31.9,0.5,0.01,3.65,21.7,0.5,1.0,2.8,0.98,1.22,2.8,177.7,0.5,0.0,2.8,2.1,0.4,4.9,1.22,2.0,0.15,CPT,0
Dec-2019 ,4.13,-0.6,-55.0,-0.4,0.04,3.62,12.1,-0.4,0.0,-2.5,0.0,1.23,-3.7,205.5,0.9,0.0,-3.7,0.0,-0.5,-5.7,1.23,-8.4,0.13,CPT,0
